Record,Record.Cathy,Group,Participant,Habitat,Revised.Habitat,Biome1,Biome2,Importance,Why.important...ECOSYSTEM.SERVICE,Habitat.area,Habitat.condition,Mammals,Birds,Reptiles.amphibians,Fish,Invertebrates,Trees,Other.plants,Fungi,Other,Soil.fertility,Soil.intacteness,Water.quantity,Water.quality,Why.changed.habitat...DRIVER,Habitat.area.will,Habitat.condition.will,Measures.needed,Action.and.by.whom,Comments,ES.HAB,ES.POL,ES.AIR,ES.CLI,ES.OCE,ES.WQN,ES.WQL,ES.SOL,ES.HAZ,ES.PST,ES.NRG,ES.FOD,ES.MAT,ES.MED,ES.LRN,ES.EXP,ES.IDE,ES.OPT,ES.WEB,ES.LIV,DIR.ACT,DIR.CC,DIR.IAS,DIR.LUC,DIR.OVR,DIR.POL,IND.CLT,IND.DEM,IND.ECO,IND.GVN,IND.LUC,IND.S.T,ACT.LAND,ACT.SPEC,ACT.AWAR,ACT.ENFORC,ACT.ECON,ACT.PROTECT,ACT.LAWPOL,ACT.RSRCH,ACT.EDUC,ACT.INST
131,62,Yellow,50,Upland agroforest areas,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Most of the smallholder farmers are found here; generation of household income,Not changed,Improved,More,More,Less,Less,No change,No answer,More,More,No answer,Not changed,Deteriorated,Decreased,Not changed,"Strictness of the government over use of natural resources such as rivers, forests and lakes; controlled economic activities around the areas",Decrease,Deteriorate,Yes,Sensitization of local communities;Good governance; support farmers groups for improved income,International communities to support responsible governmental institutions and NGOs working on identified habitats,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
132,63,Yellow,50,Savannah,Savannah,Grassland,Grassland,High,Supports many smallholder farmers who largely engage in irrigation farming,Decreased,Deteriorated,No change,More,More,Less,No change,No change,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Not changed,Increased population as manypeople are moving downstream for agricultural reasons; increased tree cutting,Decrease,Deteriorate,Yes,Awareness raising to the local communities by government and NGOs;Encourage improved agricultural practices; Support environmentally friendly initiatives,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
133,64,Yellow,48,Rivers,Freshwater - rivers - highland,Freshwater,Freshwater,High,Water for both domestic and agriculture use,Decreased,Deteriorated,No answer,No answer,Less,Less,No answer,Less,Less,Less,No answer,No answer,No answer,Decreased,Deteriorated,"Mismanagement of landscapes through tree cutting, improper agronomic practices have affected quantity and quality of water",Decrease,Deteriorate,Yes,Enforcement of by-laws for good agricultural practices; Recognizing good natural resources managers,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
134,65,Yellow,48,Agriculture,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,No clear answer,Not changed,Deteriorated,No answer,No answer,Less,Less,More,Less,Less,Less,More,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased tree cutting incidences; laxitty in the traditional by-laws has accellerated misuse,Not change,Deteriorate,Yes,Farmers to practice conservation agriculture,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
135,66,Yellow,20,Agriculture,Agriculture - Cropland,Agriculture,Agriculture,High,No clear answer,Decreased,Not changed,Less,More,Less,No change,More,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Prolonged drought; presence of invasive plants/weeds; decreased frequency of rains; increased human activities such as farming and livestock keeping,Decrease,Deteriorate,Yes,"Encourage good agricultural practices, Tree planting around settlement areas;Good land use plans; reducing number of cattles",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
137,68,Yellow,17,River systems,Freshwater - Rivers,Freshwater,Freshwater,High,River systems are important habitats; Contributes to all socio-economic activities; support of life,Decreased,Deteriorated,More,Less,Less,Less,Less,More,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased climate variability has caused uneven rainfall distribution; Increased human activities in the upstream and midstream; population increase,Decrease,Deteriorate,Yes,Operationize the Integrated water resource Management; Introduce best farming practicesEnhance law enforcement mechanisms; Efficient water use technologies,Politician understanding on IWRM is important,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
138,69,Yellow,14,Forest,Forest,Forest,Forest,High,"Provision of ecosystem services including: water, firewood, carbon cycle",Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Environmental degradation arising from human activities such as tree cutting, gravel mining, poor farming systems, soil erosion as a result of farming closest to the river banks",Decrease,Deteriorate,Yes,Tree planting efforts; provision of alternative sources of energy,Collaborative efforts from local to international levels,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
139,70,Yellow,10,"Midlelands (300 m - 1,200 m asl.)",Agriculture - Cropland,Agriculture,Agriculture,High,Production of perennial and annual crops; production of cash crops and food crops; practise of irrigation and rain fed agriculture,Decreased,Deteriorated,Less,More,No answer,More,More,Less,More,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population increase; climate change leading to unpredictable rainfall,Decrease,Deteriorate,Yes,knowledge of conservation agrricultre; use of alternative means to control pests; carefullness in use of mechanised tools like tractors,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,71,Yellow,10,Lowlands (700 m asl.),Agriculture - Cropland - irrigated,Agriculture,Agriculture,Moderate,Practise of free range type of livestock; practise of irrigation; water scarcity,Increased,Deteriorated,No answer,More,Less,More,More,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,flooding; climate change; shifting cultivation,Decrease,Deteriorate,Yes,Provision of education on sustainable land management; Reducing the use Industrial agro inputs; Provision of education on sustainable livestock keeping,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
141,72,Yellow,10,"Plantations (coffee, trees, wheat, avocado)",Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Production of perennial crops; cultivation of mixed crops such as banana and coffee; production of horticultural crops like peas and vegetables; source of rivers tributaries,Decreased,Deteriorated,Less,Less,No answer,No answer,No answer,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Population increase; climate change leading to unpredictable rainfall, soil erosion, and emergency of new pest sides; lack of sense of responsibility",Decrease,Deteriorate,Yes,By laws protecting the increased human actions on water sources; provision of education on effects of using industrial agro inputs; use of biopestcides instead of industrial agro inputs in controlling pests ,Protection of natural resources through venturing into carbon trading,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
142,73,Yellow,5,low land,Agriculture - Cropland,Agriculture,Agriculture,High,Accumulation of water bodies that support irrigation agriculture; availability of land for agricultural activities,Increased,Deteriorated,Less,More,More,No answer,More,More,More,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,decrease of soil fertility; low water quality; human settlement; destruction of natural habitatson the uper side; use of pesticides,Increase,Deteriorate,Yes,"cooperation between private and public sectors in conserving habitas by implementing organic agriculture, encouraging conservation of natural resources, plantation of trees, law and policy enforcement that supports biodiversity conservation",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
143,74,Yellow,5,Up land ,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Good climate that favours food crops plantation, sources of rainfall and water on the low land areas",Decreased,Deteriorated,Less,Less,Less,No answer,More,More,More,Less,Less,Deteriorated,Deteriorated,Not changed,Not changed,Human activities; use of artificial fertilizer; destruction of water sources; deforestation,Decrease,Deteriorate,Yes,Enacting biodiversity conservation policies; adoption of good agriculture practices; human settlement control,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
144,75,Yellow,17,Water bodies,Freshwater,Freshwater,Freshwater,High,Water bodies do sustain life of both animals and plants; important factor for the existence of all living organisms and their environment,Decreased,Deteriorated,More,More,Less,More,Less,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Insufficient education on conservation and sustainable use of water bodies,Decrease,Deteriorate,Yes,Provision of education on water resources managemnt downward to local peolple; avoiding human activities close to water bodies ,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
